Thời gian tạo đơn,Mã đơn hàng,Mã khách hàng,Tên khách hàng,Mã PKKH,Mô tả Phân Khúc Khách hàng,Mã nhóm hàng,Tên nhóm hàng,Mã mặt hàng,Tên mặt hàng,SL,Đơn giá,Thành tiền
1/1/2022 8:35,ORD0000004,CUZ00004,Thái Kim Triều,A3,"Sinh viên, nhân viên văn phòng, freelancer (18-24 tuổi) có nhu cầu chăm sóc sức khỏe và quan tâm đến sản phẩm về trà",TMX,Trà mix,TMX03,Trà gạo lứt 8 vị,1,18000,18000
1/1/2022 8:35,ORD0000004,CUZ00004,Thái Kim Triều,A3,"Sinh viên, nhân viên văn phòng, freelancer (18-24 tuổi) có nhu cầu chăm sóc sức khỏe và quan tâm đến sản phẩm về trà",TTC,"Trà củ, quả sấy",TTC02,Cam lát,1,45000,45000
1/1/2022 8:45,ORD0000005,CUZ00005,Huỳnh Minh Trung,B2,Người làm nghề nghiệp tự do hoặc nhân viên văn phòng (36-45 tuổi) có nhu cầu uống trà để hỗ trợ chữa các bệnh nền,THO,Trà hoa,THO03,Trà hoa cúc trắng,1,80000,80000
1/1/2022 8:45,ORD0000005,CUZ00005,Huỳnh Minh Trung,B2,Người làm nghề nghiệp tự do hoặc nhân viên văn phòng (36-45 tuổi) có nhu cầu uống trà để hỗ trợ chữa các bệnh nền,THO,Trà hoa,THO06,Trà nhuỵ hoa nghệ tây,1,180000,180000
1/1/2022 9:03,ORD0000006,CUZ00006,Bùi Ngọc Tài,C1,"Sinh viên đi làm thêm, nhân viên mới đi làm (20-29 tuổi) có nhu cầu mua làm quà tặng",BOT,Bột,BOT01,Bột cần tây,1,40000,40000
1/1/2022 9:03,ORD0000006,CUZ00006,Bùi Ngọc Tài,C1,"Sinh viên đi làm thêm, nhân viên mới đi làm (20-29 tuổi) có nhu cầu mua làm quà tặng",TMX,Trà mix,TMX03,Trà gạo lứt 8 vị,1,18000,18000
1/1/2022 9:16,ORD0000007,CUZ00007,Nguyễn Đức Cường,A1,"Nhân viên văn phòng, chủ doanh nghiệp (36-45 tuổi) có mức thu nhập cao, thường xuyên tìm hiểu và quan tâm đến sức khoẻ",BOT,Bột,BOT01,Bột cần tây,2,40000,80000
1/1/2022 9:16,ORD0000007,CUZ00007,Nguyễn Đức Cường,A1,"Nhân viên văn phòng, chủ doanh nghiệp (36-45 tuổi) có mức thu nhập cao, thường xuyên tìm hiểu và quan tâm đến sức khoẻ",TMX,Trà mix,TMX02,Trà cam sả quế,1,38000,38000
1/1/2022 9:38,ORD0000008,CUZ00008,Mai Xuân Phúc,A2,"Nhân viên văn phòng, Freelancer ở Miền Bắc (25-35 tuổi) có nhu cầu chăm sóc sức khỏe và quan tâm đến các sản phẩm về trà",SET,Set trà,SET04,Set 10 gói trà gừng,1,50000,50000
1/1/2022 9:48,ORD0000009,CUZ00009,Đào Tuấn Hiệp,A3,"Sinh viên, nhân viên văn phòng, freelancer (18-24 tuổi) có nhu cầu chăm sóc sức khỏe và quan tâm đến sản phẩm về trà",BOT,Bột,BOT01,Bột cần tây,2,40000,80000
1/1/2022 9:48,ORD0000009,CUZ00009,Đào Tuấn Hiệp,A3,"Sinh viên, nhân viên văn phòng, freelancer (18-24 tuổi) có nhu cầu chăm sóc sức khỏe và quan tâm đến sản phẩm về trà",SET,Set trà,SET07,Set 10 gói trà cam sả quế,1,71000,71000
1/1/2022 9:48,ORD0000009,CUZ00009,Đào Tuấn Hiệp,A3,"Sinh viên, nhân viên văn phòng, freelancer (18-24 tuổi) có nhu cầu chăm sóc sức khỏe và quan tâm đến sản phẩm về trà",THO,Trà hoa,THO01,Trà nụ hoa nhài trắng,1,65000,65000
1/1/2022 9:48,ORD0000009,CUZ00009,Đào Tuấn Hiệp,A3,"Sinh viên, nhân viên văn phòng, freelancer (18-24 tuổi) có nhu cầu chăm sóc sức khỏe và quan tâm đến sản phẩm về trà",TMX,Trà mix,TMX01,Trà dưỡng nhan,1,35000,35000
1/1/2022 9:54,ORD0000010,CUZ00010,Nguyễn Ngọc Hà,C1,"Sinh viên đi làm thêm, nhân viên mới đi làm (20-29 tuổi) có nhu cầu mua làm quà tặng",BOT,Bột,BOT01,Bột cần tây,1,40000,40000
1/1/2022 9:54,ORD0000010,CUZ00010,Nguyễn Ngọc Hà,C1,"Sinh viên đi làm thêm, nhân viên mới đi làm (20-29 tuổi) có nhu cầu mua làm quà tặng",SET,Set trà,SET07,Set 10 gói trà cam sả quế,2,71000,142000
1/1/2022 9:57,ORD0000011,CUZ00011,Lưu Lê Qui Nhơn,B3,Người làm nghề nghiệp tự do hoặc nhân viên văn phòng (25-35 tuổi) ở Miền Bắc có nhu cầu uống trà để hỗ trợ chữa các bệnh có triệu chứng nhẹ,THO,Trà hoa,THO01,Trà nụ hoa nhài trắng,1,65000,65000
1/1/2022 9:57,ORD0000011,CUZ00011,Lưu Lê Qui Nhơn,B3,Người làm nghề nghiệp tự do hoặc nhân viên văn phòng (25-35 tuổi) ở Miền Bắc có nhu cầu uống trà để hỗ trợ chữa các bệnh có triệu chứng nhẹ,TMX,Trà mix,TMX02,Trà cam sả quế,1,38000,38000
1/1/2022 9:57,ORD0000011,CUZ00011,Lưu Lê Qui Nhơn,B3,Người làm nghề nghiệp tự do hoặc nhân viên văn phòng (25-35 tuổi) ở Miền Bắc có nhu cầu uống trà để hỗ trợ chữa các bệnh có triệu chứng nhẹ,TTC,"Trà củ, quả sấy",TTC01,Trà gừng,2,30000,60000
1/1/2022 10:04,ORD0000012,CUZ00012,Trần Thanh Tâm,B2,Người làm nghề nghiệp tự do hoặc nhân viên văn phòng (36-45 tuổi) có nhu cầu uống trà để hỗ trợ chữa các bệnh nền,TTC,"Trà củ, quả sấy",TTC02,Cam lát,2,45000,90000
1/1/2022 10:08,ORD0000013,CUZ00013,Huỳnh Thanh Tùng,A3,"Sinh viên, nhân viên văn phòng, freelancer (18-24 tuổi) có nhu cầu chăm sóc sức khỏe và quan tâm đến sản phẩm về trà",TMX,Trà mix,TMX01,Trà dưỡng nhan,1,35000,35000
1/1/2022 10:08,ORD0000013,CUZ00013,Huỳnh Thanh Tùng,A3,"Sinh viên, nhân viên văn phòng, freelancer (18-24 tuổi) có nhu cầu chăm sóc sức khỏe và quan tâm đến sản phẩm về trà",TTC,"Trà củ, quả sấy",TTC01,Trà gừng,1,30000,30000
1/1/2022 10:08,ORD0000013,CUZ00013,Huỳnh Thanh Tùng,A3,"Sinh viên, nhân viên văn phòng, freelancer (18-24 tuổi) có nhu cầu chăm sóc sức khỏe và quan tâm đến sản phẩm về trà",TTC,"Trà củ, quả sấy",TTC02,Cam lát,1,45000,45000
1/1/2022 10:13,ORD0000014,CUZ00014,Lê Ngọc Huy,A2,"Nhân viên văn phòng, Freelancer ở Miền Bắc (25-35 tuổi) có nhu cầu chăm sóc sức khỏe và quan tâm đến các sản phẩm về trà",TMX,Trà mix,TMX01,Trà dưỡng nhan,1,35000,35000
1/1/2022 10:13,ORD0000014,CUZ00014,Lê Ngọc Huy,A2,"Nhân viên văn phòng, Freelancer ở Miền Bắc (25-35 tuổi) có nhu cầu chăm sóc sức khỏe và quan tâm đến các sản phẩm về trà",TMX,Trà mix,TMX02,Trà cam sả quế,1,38000,38000
1/1/2022 10:13,ORD0000014,CUZ00014,Lê Ngọc Huy,A2,"Nhân viên văn phòng, Freelancer ở Miền Bắc (25-35 tuổi) có nhu cầu chăm sóc sức khỏe và quan tâm đến các sản phẩm về trà",TTC,"Trà củ, quả sấy",TTC01,Trà gừng,2,30000,60000
1/1/2022 10:20,ORD0000015,CUZ00015,Nguyễn Đức Vinh,B1,Người làm kinh doanh hoặc văn phòng (45+ tuổi) có thu nhập trung bình có nhu cầu uống trà để hỗ trợ chữa các bệnh nền,THO,Trà hoa,THO01,Trà nụ hoa nhài trắng,1,65000,65000
1/1/2022 10:20,ORD0000015,CUZ00015,Nguyễn Đức Vinh,B1,Người làm kinh doanh hoặc văn phòng (45+ tuổi) có thu nhập trung bình có nhu cầu uống trà để hỗ trợ chữa các bệnh nền,TTC,"Trà củ, quả sấy",TTC01,Trà gừng,2,30000,60000
1/1/2022 10:49,ORD0000016,CUZ00016,Vũ Đức Hợp,B2,Người làm nghề nghiệp tự do hoặc nhân viên văn phòng (36-45 tuổi) có nhu cầu uống trà để hỗ trợ chữa các bệnh nền,SET,Set trà,SET07,Set 10 gói trà cam sả quế,1,71000,71000
1/1/2022 10:49,ORD0000016,CUZ00016,Vũ Đức Hợp,B2,Người làm nghề nghiệp tự do hoặc nhân viên văn phòng (36-45 tuổi) có nhu cầu uống trà để hỗ trợ chữa các bệnh nền,THO,Trà hoa,THO01,Trà nụ hoa nhài trắng,1,65000,65000
1/1/2022 11:08,ORD0000017,CUZ00017,Nguyễn Thịnh,B2,Người làm nghề nghiệp tự do hoặc nhân viên văn phòng (36-45 tuổi) có nhu cầu uống trà để hỗ trợ chữa các bệnh nền,SET,Set trà,SET04,Set 10 gói trà gừng,1,50000,50000
1/1/2022 11:08,ORD0000017,CUZ00017,Nguyễn Thịnh,B2,Người làm nghề nghiệp tự do hoặc nhân viên văn phòng (36-45 tuổi) có nhu cầu uống trà để hỗ trợ chữa các bệnh nền,THO,Trà hoa,THO04,Trà nụ hoa hồng Tây Tạng,1,55000,55000
1/1/2022 11:08,ORD0000017,CUZ00017,Nguyễn Thịnh,B2,Người làm nghề nghiệp tự do hoặc nhân viên văn phòng (36-45 tuổi) có nhu cầu uống trà để hỗ trợ chữa các bệnh nền,TMX,Trà mix,TMX03,Trà gạo lứt 8 vị,1,18000,18000
1/1/2022 11:14,ORD0000018,CUZ00018,Hoàng Thái Tuyên,B2,Người làm nghề nghiệp tự do hoặc nhân viên văn phòng (36-45 tuổi) có nhu cầu uống trà để hỗ trợ chữa các bệnh nền,THO,Trà hoa,THO02,Trà hoa đậu biếc,1,68000,68000
1/1/2022 11:14,ORD0000018,CUZ00018,Hoàng Thái Tuyên,B2,Người làm nghề nghiệp tự do hoặc nhân viên văn phòng (36-45 tuổi) có nhu cầu uống trà để hỗ trợ chữa các bệnh nền,TMX,Trà mix,TMX01,Trà dưỡng nhan,1,35000,35000
1/1/2022 11:21,ORD0000019,CUZ00019,Đặng Văn Đảng,C1,"Sinh viên đi làm thêm, nhân viên mới đi làm (20-29 tuổi) có nhu cầu mua làm quà tặng",SET,Set trà,SET03,Set 10 gói trà hoa cúc trắng,1,150000,150000
1/1/2022 11:21,ORD0000019,CUZ00019,Đặng Văn Đảng,C1,"Sinh viên đi làm thêm, nhân viên mới đi làm (20-29 tuổi) có nhu cầu mua làm quà tặng",THO,Trà hoa,THO05,Trà hoa Atiso,1,50000,50000
1/1/2022 11:29,ORD0000020,CUZ00020,Nguyễn Tuấn Anh,C1,"Sinh viên đi làm thêm, nhân viên mới đi làm (20-29 tuổi) có nhu cầu mua làm quà tặng",SET,Set trà,SET03,Set 10 gói trà hoa cúc trắng,1,150000,150000
1/1/2022 11:53,ORD0000021,CUZ00021,Lê Văn Nhâm,B2,Người làm nghề nghiệp tự do hoặc nhân viên văn phòng (36-45 tuổi) có nhu cầu uống trà để hỗ trợ chữa các bệnh nền,BOT,Bột,BOT01,Bột cần tây,1,40000,40000
1/1/2022 11:53,ORD0000021,CUZ00021,Lê Văn Nhâm,B2,Người làm nghề nghiệp tự do hoặc nhân viên văn phòng (36-45 tuổi) có nhu cầu uống trà để hỗ trợ chữa các bệnh nền,THO,Trà hoa,THO01,Trà nụ hoa nhài trắng,1,65000,65000
1/1/2022 12:09,ORD0000022,CUZ00022,Trần Mạnh Phương,A3,"Sinh viên, nhân viên văn phòng, freelancer (18-24 tuổi) có nhu cầu chăm sóc sức khỏe và quan tâm đến sản phẩm về trà",BOT,Bột,BOT01,Bột cần tây,1,40000,40000
1/1/2022 12:09,ORD0000022,CUZ00022,Trần Mạnh Phương,A3,"Sinh viên, nhân viên văn phòng, freelancer (18-24 tuổi) có nhu cầu chăm sóc sức khỏe và quan tâm đến sản phẩm về trà",SET,Set trà,SET07,Set 10 gói trà cam sả quế,2,71000,142000
1/1/2022 12:09,ORD0000022,CUZ00022,Trần Mạnh Phương,A3,"Sinh viên, nhân viên văn phòng, freelancer (18-24 tuổi) có nhu cầu chăm sóc sức khỏe và quan tâm đến sản phẩm về trà",TMX,Trà mix,TMX01,Trà dưỡng nhan,1,35000,35000
1/1/2022 12:14,ORD0000023,CUZ00023,Nguyễn Lương Yến Vy,A2,"Nhân viên văn phòng, Freelancer ở Miền Bắc (25-35 tuổi) có nhu cầu chăm sóc sức khỏe và quan tâm đến các sản phẩm về trà",BOT,Bột,BOT01,Bột cần tây,1,40000,40000
1/1/2022 12:14,ORD0000023,CUZ00023,Nguyễn Lương Yến Vy,A2,"Nhân viên văn phòng, Freelancer ở Miền Bắc (25-35 tuổi) có nhu cầu chăm sóc sức khỏe và quan tâm đến các sản phẩm về trà",THO,Trà hoa,THO02,Trà hoa đậu biếc,1,68000,68000
1/1/2022 12:14,ORD0000023,CUZ00023,Nguyễn Lương Yến Vy,A2,"Nhân viên văn phòng, Freelancer ở Miền Bắc (25-35 tuổi) có nhu cầu chăm sóc sức khỏe và quan tâm đến các sản phẩm về trà",TMX,Trà mix,TMX01,Trà dưỡng nhan,1,35000,35000
1/1/2022 12:14,ORD0000023,CUZ00023,Nguyễn Lương Yến Vy,A2,"Nhân viên văn phòng, Freelancer ở Miền Bắc (25-35 tuổi) có nhu cầu chăm sóc sức khỏe và quan tâm đến các sản phẩm về trà",TMX,Trà mix,TMX02,Trà cam sả quế,1,38000,38000
1/1/2022 12:35,ORD0000024,CUZ00024,Nguyễn Văn Hiếu,A2,"Nhân viên văn phòng, Freelancer ở Miền Bắc (25-35 tuổi) có nhu cầu chăm sóc sức khỏe và quan tâm đến các sản phẩm về trà",BOT,Bột,BOT01,Bột cần tây,1,40000,40000
1/1/2022 12:35,ORD0000024,CUZ00024,Nguyễn Văn Hiếu,A2,"Nhân viên văn phòng, Freelancer ở Miền Bắc (25-35 tuổi) có nhu cầu chăm sóc sức khỏe và quan tâm đến các sản phẩm về trà",SET,Set trà,SET05,Set 10 gói trà dưỡng nhan,1,65000,65000
1/1/2022 12:35,ORD0000024,CUZ00024,Nguyễn Văn Hiếu,A2,"Nhân viên văn phòng, Freelancer ở Miền Bắc (25-35 tuổi) có nhu cầu chăm sóc sức khỏe và quan tâm đến các sản phẩm về trà",TMX,Trà mix,TMX03,Trà gạo lứt 8 vị,1,18000,18000
1/1/2022 12:49,ORD0000025,CUZ00025,Nguyễn Trường Phi,A3,"Sinh viên, nhân viên văn phòng, freelancer (18-24 tuổi) có nhu cầu chăm sóc sức khỏe và quan tâm đến sản phẩm về trà",BOT,Bột,BOT01,Bột cần tây,2,40000,80000
1/1/2022 12:49,ORD0000025,CUZ00025,Nguyễn Trường Phi,A3,"Sinh viên, nhân viên văn phòng, freelancer (18-24 tuổi) có nhu cầu chăm sóc sức khỏe và quan tâm đến sản phẩm về trà",THO,Trà hoa,THO01,Trà nụ hoa nhài trắng,1,65000,65000
1/1/2022 12:49,ORD0000025,CUZ00025,Nguyễn Trường Phi,A3,"Sinh viên, nhân viên văn phòng, freelancer (18-24 tuổi) có nhu cầu chăm sóc sức khỏe và quan tâm đến sản phẩm về trà",TMX,Trà mix,TMX02,Trà cam sả quế,1,38000,38000
1/1/2022 13:02,ORD0000026,CUZ00026,Lê Quang Nguyên,A1,"Nhân viên văn phòng, chủ doanh nghiệp (36-45 tuổi) có mức thu nhập cao, thường xuyên tìm hiểu và quan tâm đến sức khoẻ",TMX,Trà mix,TMX02,Trà cam sả quế,1,38000,38000
1/1/2022 13:02,ORD0000026,CUZ00026,Lê Quang Nguyên,A1,"Nhân viên văn phòng, chủ doanh nghiệp (36-45 tuổi) có mức thu nhập cao, thường xuyên tìm hiểu và quan tâm đến sức khoẻ",TTC,"Trà củ, quả sấy",TTC01,Trà gừng,1,30000,30000
1/1/2022 13:08,ORD0000027,CUZ00027,Trần Thị Bé Thương,A3,"Sinh viên, nhân viên văn phòng, freelancer (18-24 tuổi) có nhu cầu chăm sóc sức khỏe và quan tâm đến sản phẩm về trà",THO,Trà hoa,THO03,Trà hoa cúc trắng,1,80000,80000
1/1/2022 13:08,ORD0000027,CUZ00027,Trần Thị Bé Thương,A3,"Sinh viên, nhân viên văn phòng, freelancer (18-24 tuổi) có nhu cầu chăm sóc sức khỏe và quan tâm đến sản phẩm về trà",TTC,"Trà củ, quả sấy",TTC01,Trà gừng,1,30000,30000
1/1/2022 13:46,ORD0000028,CUZ00028,Ñoã Coâng Hoan,A1,"Nhân viên văn phòng, chủ doanh nghiệp (36-45 tuổi) có mức thu nhập cao, thường xuyên tìm hiểu và quan tâm đến sức khoẻ",BOT,Bột,BOT01,Bột cần tây,1,40000,40000
1/1/2022 13:46,ORD0000028,CUZ00028,Ñoã Coâng Hoan,A1,"Nhân viên văn phòng, chủ doanh nghiệp (36-45 tuổi) có mức thu nhập cao, thường xuyên tìm hiểu và quan tâm đến sức khoẻ",THO,Trà hoa,THO01,Trà nụ hoa nhài trắng,1,65000,65000
1/1/2022 14:02,ORD0000029,CUZ00029,Lê Xuân Hoàn,A1,"Nhân viên văn phòng, chủ doanh nghiệp (36-45 tuổi) có mức thu nhập cao, thường xuyên tìm hiểu và quan tâm đến sức khoẻ",BOT,Bột,BOT01,Bột cần tây,1,40000,40000
1/1/2022 14:02,ORD0000029,CUZ00029,Lê Xuân Hoàn,A1,"Nhân viên văn phòng, chủ doanh nghiệp (36-45 tuổi) có mức thu nhập cao, thường xuyên tìm hiểu và quan tâm đến sức khoẻ",TMX,Trà mix,TMX02,Trà cam sả quế,1,38000,38000
1/1/2022 14:02,ORD0000029,CUZ00029,Lê Xuân Hoàn,A1,"Nhân viên văn phòng, chủ doanh nghiệp (36-45 tuổi) có mức thu nhập cao, thường xuyên tìm hiểu và quan tâm đến sức khoẻ",TTC,"Trà củ, quả sấy",TTC01,Trà gừng,1,30000,30000
1/1/2022 14:28,ORD0000030,CUZ00030,Hồ Lập Duy,B1,Người làm kinh doanh hoặc văn phòng (45+ tuổi) có thu nhập trung bình có nhu cầu uống trà để hỗ trợ chữa các bệnh nền,SET,Set trà,SET05,Set 10 gói trà dưỡng nhan,1,65000,65000
1/1/2022 14:46,ORD0000031,CUZ00031,Lê Thanh Trọng,A2,"Nhân viên văn phòng, Freelancer ở Miền Bắc (25-35 tuổi) có nhu cầu chăm sóc sức khỏe và quan tâm đến các sản phẩm về trà",BOT,Bột,BOT01,Bột cần tây,1,40000,40000
1/1/2022 14:53,ORD0000032,CUZ00032,Traàn Quang Vinh,A2,"Nhân viên văn phòng, Freelancer ở Miền Bắc (25-35 tuổi) có nhu cầu chăm sóc sức khỏe và quan tâm đến các sản phẩm về trà",THO,Trà hoa,THO03,Trà hoa cúc trắng,1,80000,80000
1/1/2022 14:53,ORD0000032,CUZ00032,Traàn Quang Vinh,A2,"Nhân viên văn phòng, Freelancer ở Miền Bắc (25-35 tuổi) có nhu cầu chăm sóc sức khỏe và quan tâm đến các sản phẩm về trà",THO,Trà hoa,THO06,Trà nhuỵ hoa nghệ tây,1,180000,180000
1/1/2022 15:11,ORD0000033,CUZ00033,Nguyễn Hoàng Sơn,B3,Người làm nghề nghiệp tự do hoặc nhân viên văn phòng (25-35 tuổi) ở Miền Bắc có nhu cầu uống trà để hỗ trợ chữa các bệnh có triệu chứng nhẹ,TMX,Trà mix,TMX01,Trà dưỡng nhan,1,35000,35000
1/1/2022 15:11,ORD0000033,CUZ00033,Nguyễn Hoàng Sơn,B3,Người làm nghề nghiệp tự do hoặc nhân viên văn phòng (25-35 tuổi) ở Miền Bắc có nhu cầu uống trà để hỗ trợ chữa các bệnh có triệu chứng nhẹ,TMX,Trà mix,TMX02,Trà cam sả quế,1,38000,38000
1/1/2022 15:11,ORD0000033,CUZ00033,Nguyễn Hoàng Sơn,B3,Người làm nghề nghiệp tự do hoặc nhân viên văn phòng (25-35 tuổi) ở Miền Bắc có nhu cầu uống trà để hỗ trợ chữa các bệnh có triệu chứng nhẹ,TTC,"Trà củ, quả sấy",TTC02,Cam lát,1,45000,45000
1/1/2022 15:41,ORD0000034,CUZ00034,Phùng Đức Vũ Quân,A1,"Nhân viên văn phòng, chủ doanh nghiệp (36-45 tuổi) có mức thu nhập cao, thường xuyên tìm hiểu và quan tâm đến sức khoẻ",SET,Set trà,SET03,Set 10 gói trà hoa cúc trắng,1,150000,150000
1/1/2022 15:41,ORD0000034,CUZ00034,Phùng Đức Vũ Quân,A1,"Nhân viên văn phòng, chủ doanh nghiệp (36-45 tuổi) có mức thu nhập cao, thường xuyên tìm hiểu và quan tâm đến sức khoẻ",TTC,"Trà củ, quả sấy",TTC01,Trà gừng,1,30000,30000
1/1/2022 15:41,ORD0000034,CUZ00034,Phùng Đức Vũ Quân,A1,"Nhân viên văn phòng, chủ doanh nghiệp (36-45 tuổi) có mức thu nhập cao, thường xuyên tìm hiểu và quan tâm đến sức khoẻ",TTC,"Trà củ, quả sấy",TTC02,Cam lát,1,45000,45000
1/1/2022 15:49,ORD0000035,CUZ00035,Nguyễn Công Huy,A1,"Nhân viên văn phòng, chủ doanh nghiệp (36-45 tuổi) có mức thu nhập cao, thường xuyên tìm hiểu và quan tâm đến sức khoẻ",BOT,Bột,BOT01,Bột cần tây,1,40000,40000
1/1/2022 15:49,ORD0000035,CUZ00035,Nguyễn Công Huy,A1,"Nhân viên văn phòng, chủ doanh nghiệp (36-45 tuổi) có mức thu nhập cao, thường xuyên tìm hiểu và quan tâm đến sức khoẻ",SET,Set trà,SET06,Set 10 gói trà gạo lứt 8 vị,1,35000,35000
1/1/2022 15:49,ORD0000035,CUZ00035,Nguyễn Công Huy,A1,"Nhân viên văn phòng, chủ doanh nghiệp (36-45 tuổi) có mức thu nhập cao, thường xuyên tìm hiểu và quan tâm đến sức khoẻ",TTC,"Trà củ, quả sấy",TTC01,Trà gừng,1,30000,30000
1/1/2022 15:56,ORD0000036,CUZ00036,Lê Minh Đức,C1,"Sinh viên đi làm thêm, nhân viên mới đi làm (20-29 tuổi) có nhu cầu mua làm quà tặng",BOT,Bột,BOT01,Bột cần tây,1,40000,40000
1/1/2022 15:56,ORD0000036,CUZ00036,Lê Minh Đức,C1,"Sinh viên đi làm thêm, nhân viên mới đi làm (20-29 tuổi) có nhu cầu mua làm quà tặng",SET,Set trà,SET06,Set 10 gói trà gạo lứt 8 vị,1,35000,35000
1/1/2022 15:56,ORD0000036,CUZ00036,Lê Minh Đức,C1,"Sinh viên đi làm thêm, nhân viên mới đi làm (20-29 tuổi) có nhu cầu mua làm quà tặng",TTC,"Trà củ, quả sấy",TTC02,Cam lát,1,45000,45000
1/1/2022 16:03,ORD0000037,CUZ00037,Bùi Ngọc Hoàng,C1,"Sinh viên đi làm thêm, nhân viên mới đi làm (20-29 tuổi) có nhu cầu mua làm quà tặng",BOT,Bột,BOT01,Bột cần tây,1,40000,40000
1/1/2022 16:56,ORD0000038,CUZ00038,Lê Kim Quyền,A1,"Nhân viên văn phòng, chủ doanh nghiệp (36-45 tuổi) có mức thu nhập cao, thường xuyên tìm hiểu và quan tâm đến sức khoẻ",BOT,Bột,BOT01,Bột cần tây,1,40000,40000
1/1/2022 16:56,ORD0000038,CUZ00038,Lê Kim Quyền,A1,"Nhân viên văn phòng, chủ doanh nghiệp (36-45 tuổi) có mức thu nhập cao, thường xuyên tìm hiểu và quan tâm đến sức khoẻ",SET,Set trà,SET03,Set 10 gói trà hoa cúc trắng,1,150000,150000
1/1/2022 16:58,ORD0000039,CUZ00039,Phạm Cao Triết,A1,"Nhân viên văn phòng, chủ doanh nghiệp (36-45 tuổi) có mức thu nhập cao, thường xuyên tìm hiểu và quan tâm đến sức khoẻ",BOT,Bột,BOT01,Bột cần tây,1,40000,40000
1/1/2022 16:58,ORD0000039,CUZ00039,Phạm Cao Triết,A1,"Nhân viên văn phòng, chủ doanh nghiệp (36-45 tuổi) có mức thu nhập cao, thường xuyên tìm hiểu và quan tâm đến sức khoẻ",THO,Trà hoa,THO03,Trà hoa cúc trắng,1,80000,80000
1/1/2022 16:58,ORD0000039,CUZ00039,Phạm Cao Triết,A1,"Nhân viên văn phòng, chủ doanh nghiệp (36-45 tuổi) có mức thu nhập cao, thường xuyên tìm hiểu và quan tâm đến sức khoẻ",TMX,Trà mix,TMX01,Trà dưỡng nhan,1,35000,35000
1/1/2022 16:58,ORD0000039,CUZ00039,Phạm Cao Triết,A1,"Nhân viên văn phòng, chủ doanh nghiệp (36-45 tuổi) có mức thu nhập cao, thường xuyên tìm hiểu và quan tâm đến sức khoẻ",TTC,"Trà củ, quả sấy",TTC02,Cam lát,1,45000,45000
